,Positive,ROI_past_ma10
0,False,
1,0,
2,1,
3,1,
4,1,
5,0,
6,0,
7,0,
8,1,
9,1,
10,1,
11,1,0.002340614037272708
12,1,0.002240963637553807
13,1,0.002547658871730063
14,0,0.0026226923766577656
15,0,0.0020367662127144495
16,0,-0.0001777534077984674
17,0,-0.002869705166661754
18,0,-0.002862309098859246
19,1,-0.002873412881509617
20,1,-0.001957013925777283
21,0,-0.0002884211524046373
22,0,-0.0018162520859717416
23,1,-0.0033156613070953983
24,1,-0.002972448454968443
25,1,-0.0022443935658099184
26,1,-0.0012403834772589382
27,1,-0.0010180948224387024
28,1,-0.00039945034144980813
29,1,-0.00018787753653387514
30,1,0.00013471854075791588
31,1,0.0007527138608398171
32,1,0.0011404226219416226
33,0,0.0011289754969886242
34,1,0.0010648455317791238
35,1,0.0010494160800218575
36,1,0.0011306152298012147
37,1,0.0014365917528658563
38,0,0.0014917864329277088
39,0,0.001349545464306267
40,0,0.0012572797349032817
41,1,0.0008642671221006186
42,1,0.0010081116002930144
43,1,0.0010479924783864981
44,0,0.001110898727581222
45,0,0.0009463810757593192
46,0,0.0006494753960276674
47,0,0.00035460679266629137
48,0,0.00023364772737695678
49,0,0.00010096654056189041
50,1,-0.0004949497532472131
51,1,-0.0003139826450415029
52,1,0.00022441575165738518
53,0,0.000293825210932436
54,0,6.033498825320173e-05
55,0,-0.00020174927340128174
56,0,-0.0009272784056220949
57,0,-0.0012947971175568083
58,0,-0.0017841023436429208
59,0,-0.0024615372825703085
60,0,-0.0025801871970532386
61,1,-0.0026040590500070403
62,1,-0.002496253111069328
63,0,-0.002242475681148493
64,0,-0.0022074785096049144
65,0,-0.002939807124764797
66,1,-0.0039029357576990495
67,1,-0.0034900360312145927
68,0,-0.0028357840364799844
69,0,-0.003291780222285944
70,1,-0.004015659300509599
71,1,-0.003765493216293211
72,1,-0.0035818887198893
73,0,-0.0032069733853233766
74,0,-0.0035157629329764122
75,1,-0.003879983378848674
76,1,-0.0037914860527960433
77,0,-0.003704529636342717
78,0,-0.003876902114314326
79,0,-0.00426717835756411
80,1,-0.0044338612269027465
81,1,-0.004128105620384732
82,1,-0.003818158045077049
83,0,-0.003693883375761156
84,0,-0.0036579479140791344
85,0,-0.0037487432811009786
86,0,-0.0038748181917281584
87,0,-0.0041656877141547375
88,1,-0.004185465163969799
89,1,-0.003897726915478006
90,1,-0.003425422189575196
91,0,-0.003184710762118404
92,0,-0.0032550050318368574
93,0,-0.0034744023203164705
94,1,-0.0035346587831823735
95,1,-0.003311649139381083
96,1,-0.003047705373471874
97,1,-0.0028288438591648753
98,1,-0.0025613654769156592
99,1,-0.002320873167928691
100,1,-0.001994470283599834
101,0,-0.0019275006767517184
102,0,-0.001903519652750933
103,0,-0.001954672286284966
104,0,-0.0023146284815393093
105,0,-0.002726380851566269
106,1,-0.0027161545936982673
107,1,-0.00235704315986902
108,1,-0.0020555886261090744
109,1,-0.0022139112020751
110,0,-0.0022803273830471265
111,0,-0.0023308458652773426
112,0,-0.002456734057949014
113,0,-0.002633231073042988
114,0,-0.0028073707447255586
115,1,-0.0028705447706895305
116,1,-0.0024084698072862646
117,1,-0.0017554658738265457
118,1,-0.001632330175630432
119,1,-0.0014633025427002483
120,1,-0.0014635615130776513
121,1,-0.0015737814690189444
122,0,-0.0010544286659005177
123,0,-0.0007676552373846017
124,1,-0.0008267603239469759
125,1,-0.0008911568347118901
126,1,-0.0010664524245098373
127,0,-0.0010979990451789267
128,0,-0.0012707381982829606
129,0,-0.0015805715259631942
130,1,-0.0017235790696581619
131,1,-0.0018914973184881874
132,1,-0.001780994277750187
133,1,-0.0015605082216360304
134,0,-0.0015089828714139818
135,0,-0.001590500578193532
136,1,-0.0018986432775504863
137,0,-0.001746062911696772
138,1,-0.001856636671225782
139,1,-0.0017805860293591172
140,1,-0.0016665520797016246
141,0,-0.0015059749773807956
142,0,-0.0016966272563174686
143,0,-0.001727296472116741
144,0,-0.0018283981438260788
145,0,-0.0018049313100924576
146,0,-0.0019536933479249105
147,1,-0.0020853472403454744
148,0,-0.001967743524165529
149,0,-0.0019648482190154698
150,1,-0.0017582591213804457
151,1,-0.0018032312815504787
152,1,-0.002041865332668644
153,0,-0.0019887723890788704
154,1,-0.0019867863803762994
155,1,-0.0016796030115741063
156,0,-0.0011362945178030942
157,1,-0.0009720046911470023
158,1,-0.0005916421028044775
159,0,-1.0390092255672459e-05
160,0,8.120685254744126e-05
161,0,4.544608371466167e-05
162,0,-3.394548006625034e-05
163,0,-0.00021183543134378296
164,0,-0.0003232671508622892
165,0,1.54709209090571e-05
166,1,0.0005434811535232609
167,1,0.00035034047426054857
168,1,5.4730583143865545e-05
169,1,0.0005058688099648904
170,1,0.0010620916114281564
171,1,0.0010225498403556117
172,0,0.001039065078332652
173,0,0.0006852727318234431
174,0,0.0008286435206883747
175,0,0.001122677712214262
176,0,0.0010086642124802246
177,1,0.0008322850841950854
178,1,0.0011143816596051704
179,1,0.0016699761612444838
180,1,0.0019759624983646234
181,0,0.0019496312469154296
182,0,0.0017028232916002442
183,1,0.0014512158257845961
184,0,0.0015158072179427683
185,0,0.0015218204529581674
186,1,0.0015142073728733258
187,1,0.0018351890892035294
188,0,0.0020071441481445142
189,0,0.0016619999702319301
190,1,0.0011797402119289836
191,1,0.0011400877131274641
192,0,0.0012989055166529786
193,0,0.001264634566103703
194,0,0.0013355843085200742
195,0,0.0010920594991965687
196,0,0.0004201734682714163
197,0,-0.00015983081053189442
198,0,-0.0005070052655108807
199,0,-0.0008881210797655525
200,0,-0.0012832397366296846
201,0,-0.0014067352288770973
